base,BLOCKED,https://rm.z.yandex-team.ru/component/base,/sandbox/projects/release_machine/components/configs/base.py,https://a.yandex-team.ru/arc/trunk/arcadia/sandbox/projects/release_machine/components/configs/base.py,,salmin,ACTIVE,RMDEV-2662,ws-base-trunk
middle,BLOCKED,https://rm.z.yandex-team.ru/component/middle,/sandbox/projects/release_machine/components/configs/middle.py,https://a.yandex-team.ru/arc/trunk/arcadia/sandbox/projects/release_machine/components/configs/middle.py,,eeight,ACTIVE,RMDEV-2664,ws-middle-trunk
upper,BLOCKED,https://rm.z.yandex-team.ru/component/upper,/sandbox/projects/release_machine/components/configs/upper.py,https://a.yandex-team.ru/arc/trunk/arcadia/sandbox/projects/release_machine/components/configs/upper.py,,elshiko,ACTIVE,RMDEV-2665,noapacheupper-trunk
begemot,BLOCKED,https://rm.z.yandex-team.ru/component/begemot,/sandbox/projects/release_machine/components/configs/begemot.py,https://a.yandex-team.ru/arc/trunk/arcadia/sandbox/projects/release_machine/components/configs/begemot.py,,gluk47,ACTIVE,RMDEV-2492,ws-begemot-trunk
addrs_base,unknown,https://rm.z.yandex-team.ru/component/addrs_base,/sandbox/projects/release_machine/components/configs/geo/addrs_base.py,https://a.yandex-team.ru/arc/trunk/arcadia/sandbox/projects/release_machine/components/configs/geo/addrs_base.py,,evelkin,ACTIVE,RMDEV-2667,geobasesearch-trunk
src_setup,SKIP,https://rm.z.yandex-team.ru/component/src_setup,/sandbox/projects/release_machine/components/configs/src_setup.py,https://a.yandex-team.ru/arc/trunk/arcadia/sandbox/projects/release_machine/components/configs/src_setup.py,,elshiko,DELETED,RMDEV-2668,ws-src_setup-trunk
addrs_meta,unknown,https://rm.z.yandex-team.ru/component/addrs_meta,/sandbox/projects/release_machine/components/configs/geo/addrs_meta.py,https://a.yandex-team.ru/arc/trunk/arcadia/sandbox/projects/release_machine/components/configs/geo/addrs_meta.py,,evelkin,ACTIVE,RMDEV-2669,geometasearch-trunk
jupiter,BLOCKED,https://rm.z.yandex-team.ru/component/jupiter,/sandbox/projects/release_machine/components/configs/jupiter.py,https://a.yandex-team.ru/arc/trunk/arcadia/sandbox/projects/release_machine/components/configs/jupiter.py,,niknik,ACTIVE,RMDEV-2670,jupiter-trunk
ugc_server,unknown,https://rm.z.yandex-team.ru/component/ugc_server,/sandbox/projects/release_machine/components/configs/ugc_server.py,https://a.yandex-team.ru/arc/trunk/arcadia/sandbox/projects/release_machine/components/configs/ugc_server.py,,ivannik,ACTIVE,RMDEV-2671,ugc-server-trunk
ugc_db_backend,unknown,https://rm.z.yandex-team.ru/component/ugc_db_backend,/sandbox/projects/release_machine/components/configs/ugc_db_backend.py,https://a.yandex-team.ru/arc/trunk/arcadia/sandbox/projects/release_machine/components/configs/ugc_db_backend.py,,ivannik,ACTIVE,RMDEV-2672,ugc-db-trunk
images_base,unknown,https://rm.z.yandex-team.ru/component/images_base,/sandbox/projects/release_machine/components/configs/images_base.py,https://a.yandex-team.ru/arc/trunk/arcadia/sandbox/projects/release_machine/components/configs/images_base.py,,ulgen4a,ACTIVE,RMDEV-2673,images-base-trunk
entitysearch,unknown,https://rm.z.yandex-team.ru/component/entitysearch,/sandbox/projects/release_machine/components/configs/entitysearch.py,https://a.yandex-team.ru/arc/trunk/arcadia/sandbox/projects/release_machine/components/configs/entitysearch.py,,konovodov,ACTIVE,RMDEV-2674,entitysearch-backend-trunk
rthub,unknown,https://rm.z.yandex-team.ru/component/rthub,/sandbox/projects/release_machine/components/configs/rthub.py,https://a.yandex-team.ru/arc/trunk/arcadia/sandbox/projects/release_machine/components/configs/rthub.py,,zagevalo,ACTIVE,RMDEV-2675,rthub-trunk
video_base,unknown,https://rm.z.yandex-team.ru/component/video_base,/sandbox/projects/release_machine/components/configs/video_base.py,https://a.yandex-team.ru/arc/trunk/arcadia/sandbox/projects/release_machine/components/configs/video_base.py,,juver,ACTIVE,RMDEV-2676,video-base-trunk
app_host,unknown,https://rm.z.yandex-team.ru/component/app_host,/sandbox/projects/release_machine/components/configs/app_host.py,https://a.yandex-team.ru/arc/trunk/arcadia/sandbox/projects/release_machine/components/configs/app_host.py,,feldsherov,ACTIVE,RMDEV-2677,app_host-trunk
turbo_pages,unknown,https://rm.z.yandex-team.ru/component/turbo_pages,/sandbox/projects/release_machine/components/configs/turbo_pages.py,https://a.yandex-team.ru/arc/trunk/arcadia/sandbox/projects/release_machine/components/configs/turbo_pages.py,,egorshelk,ACTIVE,RMDEV-2678,turbo_pages-trunk
gemini,unknown,https://rm.z.yandex-team.ru/component/gemini,/sandbox/projects/release_machine/components/configs/gemini.py,https://a.yandex-team.ru/arc/trunk/arcadia/sandbox/projects/release_machine/components/configs/gemini.py,,bvshuryg,ACTIVE,RMDEV-2679,gemini-trunk
expadm,BLOCKED,https://rm.z.yandex-team.ru/component/expadm,/sandbox/projects/release_machine/components/configs/expadm.py,https://a.yandex-team.ru/arc/trunk/arcadia/sandbox/projects/release_machine/components/configs/expadm.py,,ilyusha,ACTIVE,RMDEV-2680,
tutor,unknown,https://rm.z.yandex-team.ru/component/tutor,/sandbox/projects/release_machine/components/configs/tutor.py,https://a.yandex-team.ru/arc/trunk/arcadia/sandbox/projects/release_machine/components/configs/tutor.py,,nkmakarov,ACTIVE,RMDEV-2681,tutor-trunk
abt,BLOCKED,https://rm.z.yandex-team.ru/component/abt,/sandbox/projects/release_machine/components/configs/abt.py,https://a.yandex-team.ru/arc/trunk/arcadia/sandbox/projects/release_machine/components/configs/abt.py,,primorial,ACTIVE,RMDEV-2682,abt_release_trunk
