component_name,phrase,reps,phrase_component_tickets,phrase_len,reps_total,phrase_tickets,iam_users_count,tickets_per_component,importance,precision,recall,f1,row
string,string,int64,int64,int32,int64,int64,int64,int64,double,double,double,double,int32
billing.cards,карта успешно,27,26,2,42,34,34,885,0.6428571428571429,0.7647058823529411,0.02937853107344633,0.05658324265505985,14
billing.delete,ошибка создать платёжный,4,4,3,8,5,5,555,0.5,0.8,0.007207207207207207,0.014285714285714285,7
billing.delete,аккаунт пожалуйста удалить,8,8,3,9,8,8,555,0.8888888888888888,1,0.014414414414414415,0.02841918294849023,1
billing.delete,инактивация,6,6,1,12,8,8,555,0.5,0.75,0.010810810810810811,0.021314387211367674,4
billing.delete,можно удалить аккаунт,7,7,3,14,10,10,555,0.5,0.7,0.012612612612612612,0.0247787610619469,3
billing.trial,продление пробный,16,14,2,24,19,19,2284,0.6666666666666666,0.7368421052631579,0.006129597197898424,0.0121580547112462,8
billing.trial,продлить пробный,17,17,2,27,21,19,2284,0.6296296296296297,0.8095238095238095,0.0074430823117338,0.014750542299349242,4
billing.trial,дополнительный грант,17,12,2,24,15,15,2284,0.7083333333333334,0.8,0.005253940455341506,0.010439321444106133,13
billing.trial,прийти промокод,13,13,2,22,18,18,2284,0.5909090909090909,0.7222222222222222,0.005691768826619965,0.011294526498696786,11
billing.trial,грант активировать,17,17,2,25,22,20,2284,0.68,0.7727272727272727,0.0074430823117338,0.014744145706851692,5
billing.trial,практикум разблокировать,10,10,2,13,11,11,2284,0.7692307692307693,0.9090909090909091,0.0043782837127845885,0.008714596949891067,17
billing.trial,практикум активировать,10,10,2,15,13,13,2284,0.6666666666666666,0.7692307692307693,0.0043782837127845885,0.0087070091423596,18
billing.trial,грант облако,17,14,2,20,17,17,2284,0.85,0.8235294117647058,0.006129597197898424,0.012168622338113864,6
billing.trial,завершение пробный,12,11,2,19,15,15,2284,0.631578947,0.7333333333333333,0.004816112084063047,0.009569377990430622,16
billing.trial,промокод здравствуйте,23,23,2,31,28,25,2284,0.7419354838709677,0.8214285714285714,0.010070052539404553,0.0198961937716263,2
billing.trial,промокод рубль,10,10,2,15,14,13,2284,0.6666666666666666,0.7142857142857143,0.0043782837127845885,0.008703220191470844,20
